Afghanistan,2017,0.133590902
Albania,2017,0.005945217
Algeria,2017,0.194724102
American Samoa,2017,0.102553107
Andean Latin America,2017,1.576410872
Andorra,2017,0.07914248
Angola,2017,7.922774854
Antigua and Barbuda,2017,1.333867747
Argentina,2017,0.518100586
Armenia,2017,0.083879742
Australasia,2017,0.042587262
Australia,2017,0.044891578
Austria,2017,0.046686755
Azerbaijan,2017,0.041773132
Bahamas,2017,4.543295995
Bahrain,2017,0.3470935
Bangladesh,2017,0.071180904
Barbados,2017,0.900016516
Belarus,2017,0.251408005
Belgium,2017,0.056862182
Belize,2017,4.330654856
Benin,2017,2.245931492
Bermuda,2017,1.302072809
Bhutan,2017,1.974669505
Bolivia,2017,1.760654717
Bosnia and Herzegovina,2017,0.00415247
Botswana,2017,28.67029242
Brazil,2017,1.141908651
Brunei,2017,0.249055018
Bulgaria,2017,0.05077381
Burkina Faso,2017,1.446378816
Burundi,2017,3.206268168
Cambodia,2017,1.355386818
Cameroon,2017,11.94308556
Canada,2017,0.098020458
Cape Verde,2017,4.151997443
Caribbean,2017,2.379525056
Central African Republic,2017,8.359061134
Central Asia,2017,0.206240442
Central Europe,2017,0.039238963
"Central Europe, Eastern Europe, and Central Asia",2017,0.568911301
Central Latin America,2017,0.964197973
Central Sub-Saharan Africa,2017,4.679561869
Chad,2017,3.366685548
Chile,2017,0.450119533
China,2017,0.33302148
Colombia,2017,1.127862328
Comoros,2017,0.036811005
Congo,2017,14.71839634
Costa Rica,2017,0.650951967
Cote d'Ivoire,2017,10.15553162
Croatia,2017,0.017587899
Cuba,2017,0.356847953
Cyprus,2017,0.024032714
Czech Republic,2017,0.021496216
Democratic Republic of Congo,2017,2.557074042
Denmark,2017,0.049692299
Djibouti,2017,11.76622361
Dominica,2017,0.73131079
Dominican Republic,2017,3.826773965
East Asia,2017,0.330401527
Eastern Europe,2017,0.905122756
Eastern Sub-Saharan Africa,2017,9.552103527
Ecuador,2017,1.252853325
Egypt,2017,0.012997174
El Salvador,2017,1.760916811
England,2017,0.043271113
Equatorial Guinea,2017,24.37547992
Eritrea,2017,3.651048487
Estonia,2017,0.243676254
Ethiopia,2017,3.200645013
Fiji,2017,0.143765789
Finland,2017,0.011778387
France,2017,0.084848569
Gabon,2017,5.782682291
Gambia,2017,6.474641134
Georgia,2017,0.068024051
Germany,2017,0.049126425
Ghana,2017,6.888734602
Greece,2017,0.024604984
Greenland,2017,0.368301082
Grenada,2017,0.538956195
Guam,2017,0.343113761
Guatemala,2017,0.787515111
Guinea,2017,2.759010787
Guinea-Bissau,2017,9.296002534
Guyana,2017,3.530676204
Haiti,2017,4.357336985
High SDI,2017,0.116275243
High-income,2017,0.144263318
High-income Asia Pacific,2017,0.023136869
High-middle SDI,2017,0.430405522
Honduras,2017,0.142258321
Hungary,2017,0.032634374
Iceland,2017,0.038640697
India,2017,0.525853099
Indonesia,2017,0.412609243
Iran,2017,0.208362363
Iraq,2017,0.076086094
Ireland,2017,0.031786237
Israel,2017,0.0907755
Italy,2017,0.106225837
Jamaica,2017,2.176081815
Japan,2017,0.015076744
